Price,Close,High,Low,Open,Volume,RSI,MACD,MACD_signal,Ichimoku_base,Ichimoku_conversion,Ichimoku_span_a,Ichimoku_span_b,Bollinger_upper,Bollinger_lower
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,,
Date,,,,,,,,,,,,,,
2024-01-01,44167.33203125,44175.4375,42214.9765625,42280.234375,18426978443,,,,,,,43195.20703125,,
2024-01-02,44957.96875,45899.70703125,44176.94921875,44187.140625,39335274536,,,,,,,44057.341796875,,
2024-01-03,42848.17578125,45503.2421875,40813.53515625,44961.6015625,46342323118,,,,,,,43356.62109375,,
2024-01-04,44179.921875,44770.0234375,42675.17578125,42855.81640625,30448091210,,,,,,,43356.62109375,,
2024-01-05,44162.69140625,44353.28515625,42784.71875,44192.98046875,32336029347,,,,,,,43356.62109375,,
2024-01-06,43989.1953125,44227.6328125,43475.15625,44178.953125,16092503468,,,,,,,43356.62109375,,
2024-01-07,43943.09765625,44495.5703125,43662.23046875,43998.46484375,19330573863,,,,,,,43356.62109375,,
2024-01-08,46970.50390625,47218.0,43244.08203125,43948.70703125,42746192015,,,,,,,44015.767578125,,
2024-01-09,46139.73046875,47893.69921875,45244.71484375,46987.640625,39821290992,,,,,44353.6171875,,44353.6171875,,
2024-01-10,46627.77734375,47647.22265625,44483.15234375,46121.5390625,50114613298,,,,,44353.6171875,,44353.6171875,,
2024-01-11,46368.5859375,48969.37109375,45678.64453125,46656.07421875,45833734549,,,,,44891.453125,,44891.453125,,
2024-01-12,42853.16796875,46498.13671875,41903.76953125,46354.79296875,43332698900,,,,,45436.5703125,,44891.453125,,
2024-01-13,42842.3828125,43234.66015625,42464.14453125,42799.4453125,20601860469,,,,,45436.5703125,,44891.453125,,
2024-01-14,41796.26953125,43065.59765625,41724.61328125,42842.26171875,17521429522,35.47938730645886,,,,45346.9921875,,44891.453125,,
2024-01-15,42511.96875,43319.72265625,41705.41796875,41715.06640625,22320220558,40.46821920430258,,,,45337.39453125,,44891.453125,,
2024-01-16,43154.9453125,43566.2734375,42085.99609375,42499.3359375,24062872740,44.61172108861529,,,,45337.39453125,,44891.453125,,
2024-01-17,42742.65234375,43189.890625,42189.30859375,43132.1015625,20851232595,42.56586267003273,,,,45337.39453125,,44891.453125,,
